#options: 2560x1440 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=11000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:110 out:110 type:B dur:2 cpbdur:2 q:26.15 aq:22.77 tex:115445 mv:33586 misc:11537 imb:18 pmb:4484 smb:9898 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:26.14 aq:24.49 tex:23118 mv:13673 misc:7977 imb:8 pmb:2024 smb:12368 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:26.15 aq:24.55 tex:29539 mv:16356 misc:8033 imb:12 pmb:2038 smb:12350 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:26.12 aq:19.13 tex:1315421 mv:56420 misc:4927 imb:496 pmb:11752 smb:2152 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:26.14 aq:22.74 tex:120970 mv:32847 misc:11999 imb:23 pmb:4838 smb:9539 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:26.15 aq:24.52 tex:11691 mv:7656 misc:5141 imb:8 pmb:1038 smb:13354 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:26.13 aq:24.69 tex:37887 mv:18323 misc:8774 imb:14 pmb:2446 smb:11940 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:26.04 aq:18.99 tex:1437739 mv:60727 misc:4622 imb:774 pmb:11750 smb:1876 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:26.08 aq:22.51 tex:118548 mv:33750 misc:12086 imb:32 pmb:4895 smb:9473 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:26.10 aq:24.25 tex:20297 mv:10700 misc:7259 imb:6 pmb:1765 smb:12629 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:26.06 aq:24.26 tex:53138 mv:21301 misc:10425 imb:13 pmb:3273 smb:11114 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:25.99 aq:19.02 tex:1229859 mv:56396 misc:4809 imb:557 pmb:11942 smb:1901 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:26.02 aq:22.59 tex:91971 mv:30002 misc:11731 imb:30 pmb:4290 smb:10080 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:26.03 aq:24.08 tex:17992 mv:10988 misc:7052 imb:6 pmb:1656 smb:12738 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:26.01 aq:24.18 tex:51198 mv:24360 misc:11050 imb:25 pmb:3691 smb:10684 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:25.94 aq:18.98 tex:1489748 mv:59369 misc:3987 imb:579 pmb:11895 smb:1926 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:25.97 aq:22.69 tex:128775 mv:35144 misc:12169 imb:31 pmb:5028 smb:9341 d:s ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:25.98 aq:24.26 tex:27753 mv:14198 misc:9057 imb:13 pmb:2445 smb:11942 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:25.96 aq:24.55 tex:38199 mv:19643 misc:8806 imb:11 pmb:2460 smb:11929 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:25.94 aq:19.13 tex:1389499 mv:57286 misc:4263 imb:491 pmb:11917 smb:1992 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:25.94 aq:22.84 tex:115051 mv:30711 misc:11718 imb:22 pmb:4658 smb:9720 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:25.94 aq:24.16 tex:11923 mv:7985 misc:5668 imb:3 pmb:1185 smb:13212 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:25.94 aq:24.42 tex:30962 mv:17889 misc:8629 imb:4 pmb:2252 smb:12144 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:25.92 aq:19.18 tex:1355207 mv:58948 misc:4541 imb:636 pmb:11736 smb:2028 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:25.93 aq:23.05 tex:91328 mv:31778 misc:11166 imb:27 pmb:4025 smb:10348 d:s ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:25.93 aq:24.17 tex:17183 mv:10158 misc:6723 imb:5 pmb:1510 smb:12885 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:25.92 aq:24.15 tex:50171 mv:24709 misc:11624 imb:20 pmb:3955 smb:10425 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:25.87 aq:18.93 tex:1558127 mv:68875 misc:4206 imb:1262 pmb:12024 smb:1114 d:s ref:0 ;
